Training: 2025-04-09 13:48:59,957-Speed 49.22 samples/sec   Loss 0.8237   LearningRate 0.000996   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 131072   Required: 253 hours
Training: 2025-04-09 13:49:25,203-Speed 50.70 samples/sec   Loss 0.5509   LearningRate 0.000996   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 131072   Required: 252 hours
Training: 2025-04-09 13:49:52,017-Speed 47.74 samples/sec   Loss 0.6775   LearningRate 0.000996   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 65536   Required: 252 hours
Training: 2025-04-09 13:50:17,770-Speed 49.70 samples/sec   Loss 0.5173   LearningRate 0.000996   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 65536   Required: 252 hours
Training: 2025-04-09 13:50:42,522-Speed 51.71 samples/sec   Loss 0.6330   LearningRate 0.000996   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 65536   Required: 251 hours
Training: 2025-04-09 13:51:07,139-Speed 52.00 samples/sec   Loss 0.6662   LearningRate 0.000996   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 65536   Required: 251 hours
Training: 2025-04-09 13:51:32,667-Speed 50.14 samples/sec   Loss 0.6874   LearningRate 0.000996   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 65536   Required: 250 hours
Training: 2025-04-09 13:51:57,982-Speed 50.56 samples/sec   Loss 0.6757   LearningRate 0.000996   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 65536   Required: 250 hours
Training: 2025-04-09 13:52:24,501-Speed 51.90 samples/sec   Loss 0.6427   LearningRate 0.000996   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 65536   Required: 249 hours
Training: 2025-04-09 13:52:48,924-Speed 52.41 samples/sec   Loss 0.6007   LearningRate 0.000996   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 65536   Required: 249 hours
Training: 2025-04-09 13:53:13,741-Speed 51.58 samples/sec   Loss 0.6911   LearningRate 0.000996   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 65536   Required: 248 hours
Training: 2025-04-09 13:53:38,524-Speed 51.65 samples/sec   Loss 0.6563   LearningRate 0.000996   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 65536   Required: 248 hours
Training: 2025-04-09 13:54:02,602-Speed 53.16 samples/sec   Loss 0.5382   LearningRate 0.000996   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 131072   Required: 248 hours
Training: 2025-04-09 13:54:27,280-Speed 51.87 samples/sec   Loss 0.6717   LearningRate 0.000996   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 131072   Required: 247 hours
Training: 2025-04-09 13:54:52,500-Speed 50.75 samples/sec   Loss 0.5393   LearningRate 0.000995   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 131072   Required: 247 hours
