Training: 2025-04-02 12:33:41,443-Speed 89.10 samples/sec   Loss 31.1799   LearningRate 0.000997   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:33:55,958-Speed 88.19 samples/sec   Loss 31.1468   LearningRate 0.000997   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:34:10,385-Speed 88.73 samples/sec   Loss 31.1479   LearningRate 0.000997   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:34:24,755-Speed 89.07 samples/sec   Loss 30.4709   LearningRate 0.000997   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:34:39,186-Speed 88.70 samples/sec   Loss 30.8757   LearningRate 0.000997   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:34:53,607-Speed 88.77 samples/sec   Loss 30.1896   LearningRate 0.000997   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 16384   Required: 117 hours
Training: 2025-04-02 12:35:07,887-Speed 89.64 samples/sec   Loss 30.1737   LearningRate 0.000997   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 8192   Required: 117 hours
Training: 2025-04-02 12:35:22,164-Speed 89.66 samples/sec   Loss 29.9177   LearningRate 0.000997   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:35:36,518-Speed 89.18 samples/sec   Loss 29.4257   LearningRate 0.000997   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:35:50,916-Speed 88.91 samples/sec   Loss 29.6567   LearningRate 0.000997   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:36:05,177-Speed 89.76 samples/sec   Loss 29.7651   LearningRate 0.000997   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:36:19,544-Speed 89.09 samples/sec   Loss 29.2531   LearningRate 0.000997   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:36:33,832-Speed 89.59 samples/sec   Loss 29.7157   LearningRate 0.000997   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:36:48,109-Speed 89.66 samples/sec   Loss 28.8283   LearningRate 0.000997   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:37:02,693-Speed 87.77 samples/sec   Loss 28.5178   LearningRate 0.000997   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:37:16,963-Speed 89.70 samples/sec   Loss 28.8206   LearningRate 0.000997   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:37:33,025-Speed 79.69 samples/sec   Loss 28.3011   LearningRate 0.000997   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:37:47,422-Speed 88.91 samples/sec   Loss 27.9255   LearningRate 0.000997   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 16384   Required: 116 hours
