Training: 2025-04-02 12:46:02,989-Speed 63.25 samples/sec   Loss 1.7170   LearningRate 0.000996   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:46:23,208-Speed 63.31 samples/sec   Loss 1.9434   LearningRate 0.000996   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:46:43,604-Speed 62.76 samples/sec   Loss 1.8929   LearningRate 0.000996   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:47:03,864-Speed 63.18 samples/sec   Loss 1.8340   LearningRate 0.000996   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:47:24,153-Speed 63.09 samples/sec   Loss 1.8139   LearningRate 0.000996   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:47:44,513-Speed 62.87 samples/sec   Loss 1.9686   LearningRate 0.000996   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:48:04,834-Speed 62.99 samples/sec   Loss 1.7847   LearningRate 0.000996   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:48:25,239-Speed 62.73 samples/sec   Loss 1.6443   LearningRate 0.000996   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 262144   Required: 161 hours
Training: 2025-04-02 12:48:45,414-Speed 63.45 samples/sec   Loss 1.6866   LearningRate 0.000996   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:49:05,766-Speed 62.89 samples/sec   Loss 1.7806   LearningRate 0.000996   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:49:26,062-Speed 63.07 samples/sec   Loss 1.8326   LearningRate 0.000996   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:49:46,319-Speed 63.19 samples/sec   Loss 1.5775   LearningRate 0.000996   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:50:08,526-Speed 57.64 samples/sec   Loss 1.6312   LearningRate 0.000996   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:50:28,723-Speed 63.38 samples/sec   Loss 1.6655   LearningRate 0.000996   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:50:48,921-Speed 63.38 samples/sec   Loss 1.5528   LearningRate 0.000996   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:51:09,135-Speed 63.32 samples/sec   Loss 1.6409   LearningRate 0.000996   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:51:29,334-Speed 63.37 samples/sec   Loss 1.7059   LearningRate 0.000996   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:51:49,528-Speed 63.39 samples/sec   Loss 1.6389   LearningRate 0.000996   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 65536   Required: 161 hours
Training: 2025-04-02 12:52:09,776-Speed 63.22 samples/sec   Loss 1.3935   LearningRate 0.000996   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:52:30,006-Speed 63.27 samples/sec   Loss 1.4575   LearningRate 0.000996   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:52:50,244-Speed 63.25 samples/sec   Loss 1.3550   LearningRate 0.000996   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:53:10,467-Speed 63.29 samples/sec   Loss 1.5111   LearningRate 0.000996   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:53:30,707-Speed 63.24 samples/sec   Loss 1.3841   LearningRate 0.000996   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:53:51,022-Speed 63.01 samples/sec   Loss 1.4959   LearningRate 0.000996   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:54:11,251-Speed 63.27 samples/sec   Loss 1.4709   LearningRate 0.000996   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:54:31,465-Speed 63.32 samples/sec   Loss 1.3552   LearningRate 0.000996   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:54:52,509-Speed 60.83 samples/sec   Loss 1.2556   LearningRate 0.000996   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:55:13,814-Speed 60.08 samples/sec   Loss 1.4518   LearningRate 0.000996   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 131072   Required: 161 hours
Training: 2025-04-02 12:55:34,060-Speed 63.23 samples/sec   Loss 1.3341   LearningRate 0.000996   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 161 hours
Training: 2025-04-02 12:55:54,331-Speed 63.15 samples/sec   Loss 1.4959   LearningRate 0.000995   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 262144   Required: 161 hours
